Номер,ФИО,Специальность,Стаж,Ссылка
1,Клюканова Ирина Анатольевна,"Стоматолог, Стоматолог-терапевт",стаж: 12 лет
2,Ганбарова Айна Ядуллаховна,"Дерматолог, Дерматовенеролог",стаж: 12 лет
3,Скрябин Георгий Вадимович,"Сердечно-сосудистый хирург, Хирург, Врач УЗИ",стаж: 7 лет
4,Султанов Ринат Ильшатович,"Андролог, Уролог",стаж: 4 года
5,Асапова Эльмира Наилевна,"Кардиолог, Врач функциональной диагностики",стаж: 29 лет
6,Бокарева Надежда Ивановна,Рентгенолог,стаж: 31 год
7,Хисамиев Рустем Мухарямович,Рентгенолог,стаж: 28 лет
8,Рогов Андрей Викторович,Эндоскопист,стаж: 14 лет
9,Левшина Светлана Владимировна,Педиатр,стаж: 37 лет
10,Волкова Лариса Александровна,"Нефролог,Детский нефролог",стаж: 34 года
11,Краузе Вячеслав Сергеевич,Педиатр,0
12,Иванов Никита Васильевич,"Рентгенолог,Детский рентгенолог",стаж: 25 лет
13,Косолапов Владислав Вячеславович,"Детский врач УЗИ,Врач УЗИ",стаж: 22 года
14,Андрушкевич Регина Анатольевна,"Рентгенолог,Детский рентгенолог",стаж: 33 года
15,Валеева Диана Рамильевна,"ЛОР,Детский ЛОР",стаж: 4 года
16,Герасимова Елена Евгеньевна,"Врач функциональной диагностики,Детский врач функциональной диагностики,Врач УЗИ",стаж: 15 лет
17,Волкова Лариса Александровна,"Нефролог, Детский нефролог",стаж: 34 года
18,Кузнецов Сергей Владимирович Хирург,Стоматолог-хирург,0
19,Бикбов Булат Шамилевич,Онколог,стаж: 6 лет
20,Комлева Алсу Рашитовна,"Рефлексотерапевт, Невролог",стаж: 22 года
21,Федорова Лилия Рамилевна,"Терапевт ПНД, Терапевт",стаж: 28 лет
22,Усмонова Эндже Илдусовна,"Терапевт ПНД, Кардиолог, Врач УЗИ, Терапевт",стаж: 5 лет
23,Фазылзянов Айрат Мансурович,Эндоскопист,стаж: 27 лет
